web-scraper-order,web-scraper-start-url,Phone Name,Phone Price,Phone Delivery Date,Phone Image-src,Phone Descp
1602939117-178,https://www.amazon.in/s?bbn=1389401031&rh=n%3A976419031%2Cn%3A%21976420031%2Cn%3A1389401031%2Cp_36%3A1318506031&dc&fst=as%3Aoff&qid=1602936464&rnid=1318502031&ref=lp_1389401031_nr_p_36_3,,,"Tomorrow, October 18",,
1602939117-127,https://www.amazon.in/s?bbn=1389401031&rh=n%3A976419031%2Cn%3A%21976420031%2Cn%3A1389401031%2Cp_36%3A1318506031&dc&fst=as%3Aoff&qid=1602936464&rnid=1318502031&ref=lp_1389401031_nr_p_36_3,"Samsung Galaxy M21 (Raven Black, 4GB RAM, 64GB Storage)",,,,
1602939117-166,https://www.amazon.in/s?bbn=1389401031&rh=n%3A976419031%2Cn%3A%21976420031%2Cn%3A1389401031%2Cp_36%3A1318506031&dc&fst=as%3Aoff&qid=1602936464&rnid=1318502031&ref=lp_1389401031_nr_p_36_3,,,"Tomorrow, October 18",,
1602939117-135,https://www.amazon.in/s?bbn=1389401031&rh=n%3A976419031%2Cn%3A%21976420031%2Cn%3A1389401031%2Cp_36%3A1318506031&dc&fst=as%3Aoff&qid=1602936464&rnid=1318502031&ref=lp_1389401031_nr_p_36_3,"Redmi Note 9 Pro Max (Interstellar Black, 8GB RAM, 128GB Storage) - 64MP Quad Camera & Latest 8nm Snapdragon 720G & Alexa Hands-Free | with 12 Months No Cost EMI",,,,
1602939117-164,https://www.amazon.in/s?bbn=1389401031&rh=n%3A976419031%2Cn%3A%21976420031%2Cn%3A1389401031%2Cp_36%3A1318506031&dc&fst=as%3Aoff&qid=1602936464&rnid=1318502031&ref=lp_1389401031_nr_p_36_3,,,"Tomorrow, October 18",,
1602939117-223,https://www.amazon.in/s?bbn=1389401031&rh=n%3A976419031%2Cn%3A%21976420031%2Cn%3A1389401031%2Cp_36%3A1318506031&dc&fst=as%3Aoff&qid=1602936464&rnid=1318502031&ref=lp_1389401031_nr_p_36_3,,,,,"Redmi 9 Prime (Mint Green, 4GB RAM, 128GB Storage)- Full HD+ Display & AI Quad Camera - Extra INR 500 cashback as Amazon Pay Balance | 3 Months No Cost EMI on BFL"
1602939117-155,https://www.amazon.in/s?bbn=1389401031&rh=n%3A976419031%2Cn%3A%21976420031%2Cn%3A1389401031%2Cp_36%3A1318506031&dc&fst=as%3Aoff&qid=1602936464&rnid=1318502031&ref=lp_1389401031_nr_p_36_3,,"15,999",,,
1602939117-183,https://www.amazon.in/s?bbn=1389401031&rh=n%3A976419031%2Cn%3A%21976420031%2Cn%3A1389401031%2Cp_36%3A1318506031&dc&fst=as%3Aoff&qid=1602936464&rnid=1318502031&ref=lp_1389401031_nr_p_36_3,,,,https://m.media-amazon.com/images/I/81EjHa-dSJL._AC_UY218_.jpg,
1602939117-125,https://www.amazon.in/s?bbn=1389401031&rh=n%3A976419031%2Cn%3A%21976420031%2Cn%3A1389401031%2Cp_36%3A1318506031&dc&fst=as%3Aoff&qid=1602936464&rnid=1318502031&ref=lp_1389401031_nr_p_36_3,"Redmi Note 9 (Scarlet Red, 4GB RAM, 64GB Storage) - 48MP Quad Camera & Full HD+ Display - 3 Months No Cost EMI on BFL",,,,
1602939117-206,https://www.amazon.in/s?bbn=1389401031&rh=n%3A976419031%2Cn%3A%21976420031%2Cn%3A1389401031%2Cp_36%3A1318506031&dc&fst=as%3Aoff&qid=1602936464&rnid=1318502031&ref=lp_1389401031_nr_p_36_3,,,,,"Samsung Galaxy M31 Prime Edition (Ocean Blue, 6GB RAM, 128GB Storage) - Get Complementary 3 month Prime Membership"
1602939117-149,https://www.amazon.in/s?bbn=1389401031&rh=n%3A976419031%2Cn%3A%21976420031%2Cn%3A1389401031%2Cp_36%3A1318506031&dc&fst=as%3Aoff&qid=1602936464&rnid=1318502031&ref=lp_1389401031_nr_p_36_3,,"10,999",,,
